codeD,dc_covid_26_04_2020,dc_vague1,dc_covid_04_10_2020,dc_covid_03_01_2021,dc_vague2,dc_covid_09_05_2021,dc_vague3,population,dc_vague1_per_100k,dc_vague2_per_100k,dc_vague3_per_100k,dc_covid_31_12_2022,dc_covid_31_12_2022_per_100k,densite,part_75_ans_et_plus
1,75,75,113,377,264,595,218,665391,11.3,39.7,32.8,832,125,112,"0.0858909"
10,103,103,137,265,128,420,155,311083,33.1,41.1,49.8,617,198.3,52,"0.175891"
11,49,49,61,137,76,349,212,379844,12.9,20,55.8,666,175.3,61,"0.185891"
12,20,20,26,121,95,214,93,280254,7.1,33.9,33.2,434,154.9,32,"0.195891"
13,366,366,680,1797,1117,3454,1657,2062499,17.7,54.2,80.3,6101,295.8,400,"0.205891"
14,55,55,87,273,186,556,283,695310,7.9,26.8,40.7,993,142.8,125,"0.215891"
15,4,4,15,60,45,129,69,143280,2.8,31.4,48.2,253,176.6,25,"0.225891"
16,10,10,14,62,48,156,94,350298,2.9,13.7,26.8,362,103.3,59,"0.235891"
17,40,40,54,114,60,298,184,659482,6.1,9.1,27.9,837,126.9,94,"0.245891"
18,52,52,94,286,192,482,196,296904,17.5,64.7,66,774,260.7,42,"0.255891"
19,22,22,42,88,46,207,119,238445,9.2,19.3,49.9,415,174,41,"0.265891"
2,199,199,290,523,233,1052,529,524403,37.9,44.4,100.9,1579,301.1,72,"0.0958908"
21,207,207,258,557,299,899,342,534424,38.7,55.9,64,1374,257.1,61,"0.295891"
22,24,24,42,109,67,233,124,601354,4,11.1,20.6,539,89.6,87,"0.305891"
23,5,5,16,52,36,90,38,113711,4.4,31.7,33.4,179,157.4,21,"0.315891"
24,9,9,14,51,37,207,156,411087,2.2,9,37.9,545,132.6,46,"0.325891"
25,113,113,154,303,149,499,196,547572,20.6,27.2,35.8,765,139.7,103,"0.335891"
26,112,112,131,408,277,753,345,524506,21.4,52.8,65.8,1226,233.7,79,"0.345891"
27,62,62,94,243,149,452,209,593885,10.4,25.1,35.2,772,130,99,"0.355891"
28,82,82,148,264,116,483,219,427776,19.2,27.1,51.2,807,188.7,73,"0.365891"
29,36,36,48,127,79,244,117,922797,3.9,8.6,12.7,779,84.4,135,"0.375891"
2A,42,42,50,77,27,112,35,162314,25.9,16.6,21.6,251,154.6,39,"0.275891"
2B,8,8,16,38,22,87,49,187151,4.3,11.8,26.2,259,138.4,39,"0.285891"
3,24,24,46,324,278,563,239,331757,7.2,83.8,72,919,277,46,"0.105891"
30,49,49,109,337,228,601,264,753436,6.5,30.3,35,1190,157.9,127,"0.385891"
31,45,45,106,359,253,772,413,1452055,3.1,17.4,28.4,1506,103.7,219,"0.395891"
32,16,16,29,59,30,95,36,192279,8.3,15.6,18.7,256,133.1,31,"0.405891"
33,106,106,202,478,276,970,492,1681330,6.3,16.4,29.3,1965,116.9,161,"0.415891"
34,98,98,152,496,344,920,424,1217787,8,28.2,34.8,1870,153.6,190,"0.425891"
35,67,67,101,290,189,674,384,1107860,6,17.1,34.7,1291,116.5,158,"0.435891"
36,61,61,82,146,64,244,98,215031,28.4,29.8,45.6,418,194.4,32,"0.445891"
37,56,56,101,224,123,466,242,613406,9.1,20.1,39.5,760,123.9,99,"0.455891"
38,96,96,180,967,787,1706,739,1285915,7.5,61.2,57.5,2624,204.1,170,"0.465891"
39,43,43,60,261,201,468,207,257128,16.7,78.2,80.5,685,266.4,52,"0.475891"
4,7,7,16,103,87,240,137,165582,4.2,52.5,82.7,383,231.3,24,"0.115891"
40,10,10,15,102,87,235,133,422332,2.4,20.6,31.5,448,106.1,44,"0.485891"
41,38,38,69,167,98,307,140,325598,11.7,30.1,43,595,182.7,52,"0.495891"
42,176,176,277,859,582,1297,438,767549,22.9,75.8,57.1,1933,251.8,160,"0.505891"
43,9,9,19,152,133,246,94,227224,4,58.5,41.4,424,186.6,46,"0.515891"
44,115,115,180,420,240,805,385,1478101,7.8,16.2,26,1424,96.3,207,"0.525891"
45,66,66,112,246,134,607,361,686200,9.6,19.5,52.6,1030,150.1,100,"0.535891"
46,15,15,22,51,29,93,42,174522,8.6,16.6,24.1,182,104.3,33,"0.545891"
47,5,5,14,88,74,165,77,329135,1.5,22.5,23.4,450,136.7,62,"0.555891"
48,"0","0",1,62,61,117,55,76573,"0",79.7,71.8,163,212.9,15,"0.565891"
49,94,94,148,392,244,692,300,825241,11.4,29.6,36.4,1209,146.5,114,"0.575891"
5,6,6,22,141,119,251,110,141059,4.3,84.4,78,400,283.6,25,"0.125891"
50,36,36,54,139,85,344,205,491281,7.3,17.3,41.7,705,143.5,84,"0.585891"
51,201,201,285,469,184,868,399,562545,35.7,32.7,70.9,1333,237,70,"0.595891"
52,55,55,92,206,114,358,152,166343,33.1,68.5,91.4,526,316.2,28,"0.605891"
53,27,27,49,163,114,266,103,305870,8.8,37.3,33.7,422,138,59,"0.615891"
54,250,250,370,687,317,1165,478,731006,34.2,43.4,65.4,1696,232,140,"0.625891"
55,81,81,105,223,118,369,146,178156,45.5,66.2,82,485,272.2,30,"0.635891"
56,76,76,102,207,105,404,197,770921,9.9,13.6,25.6,825,107,111,"0.645891"
57,626,626,868,1386,518,2332,946,1044398,59.9,49.6,90.6,3256,311.8,168,"0.655891"
58,22,22,28,116,88,304,188,199373,11,44.1,94.3,474,237.7,30,"0.665891"
59,409,409,724,1965,1241,3600,1635,2606873,15.7,47.6,62.7,5829,223.6,454,"0.675891"
6,123,123,222,614,392,1490,876,1103555,11.1,35.5,79.4,2599,235.5,253,"0.135891"
60,309,309,433,655,222,1271,616,833013,37.1,26.7,73.9,2013,241.7,141,"0.685891"
61,27,27,47,184,137,341,157,273214,9.9,50.1,57.5,591,216.3,46,"0.695891"
62,206,206,346,912,566,1832,920,1456555,14.1,38.9,63.2,2667,183.1,220,"0.705891"
63,32,32,58,356,298,703,347,672494,4.8,44.3,51.6,1199,178.3,83,"0.715891"
64,22,22,39,296,257,471,175,691770,3.2,37.2,25.3,879,127.1,89,"0.725891"
65,19,19,27,128,101,199,71,231014,8.2,43.7,30.7,474,205.2,51,"0.735891"
66,28,28,40,123,83,301,178,485396,5.8,17.1,36.7,869,179,116,"0.745891"
67,489,489,709,1055,346,1647,592,1156546,42.3,29.9,51.2,2430,210.1,238,"0.755891"
68,664,664,843,1045,202,1482,437,768557,86.4,26.3,56.9,2279,296.5,217,"0.765891"
69,468,468,740,1873,1133,3047,1174,1912073,24.5,59.3,61.4,4464,233.5,572,"0.775891"
7,58,58,120,309,189,487,178,330865,17.5,57.1,53.8,667,201.6,59,"0.145891"
70,67,67,77,150,73,254,104,232531,28.8,31.4,44.7,420,180.6,44,"0.785891"
71,149,149,214,630,416,1079,449,546577,27.3,76.1,82.1,1519,277.9,64,"0.795891"
72,48,48,95,278,183,559,281,564588,8.5,32.4,49.8,897,158.9,91,"0.805891"
73,41,41,81,472,391,679,207,442054,9.3,88.5,46.8,1066,241.1,72,"0.815891"
74,131,131,177,635,458,990,355,850125,15.4,53.9,41.8,1556,183,186,"0.825891"
75,1366,1366,1898,2687,789,4268,1581,2139907,63.8,36.9,73.9,6346,296.6,20720,"0.835891"
76,139,139,202,708,506,1440,732,1253596,11.1,40.4,58.4,2350,187.5,200,"0.845891"
77,448,448,739,1199,460,1934,735,1443796,31,31.9,50.9,2978,206.3,239,"0.855891"
78,401,401,572,1081,509,1742,661,1463709,27.4,34.8,45.2,2630,179.7,631,"0.865891"
79,14,14,24,107,83,246,139,374426,3.7,22.2,37.1,439,117.2,62,"0.875891"
8,43,43,65,214,149,357,143,265285,16.2,56.2,53.9,543,204.7,52,"0.155891"
80,168,168,240,428,188,876,448,566328,29.7,33.2,79.1,1209,213.5,92,"0.885891"
81,18,18,25,156,131,357,201,393046,4.6,33.3,51.1,648,164.9,67,"0.895891"
82,3,3,8,93,85,204,111,264216,1.1,32.2,42,407,154,70,"0.905891"
83,103,103,161,491,330,1404,913,1095564,9.4,30.1,83.3,2751,251.1,179,"0.915891"
84,26,26,63,449,386,841,392,562928,4.6,68.6,69.6,1618,287.4,157,"0.925891"
85,30,30,44,126,82,272,146,699296,4.3,11.7,20.9,561,80.2,101,"0.935891"
86,29,29,43,134,91,259,125,440164,6.6,20.7,28.4,509,115.6,63,"0.945891"
87,22,22,39,180,141,303,123,369805,5.9,38.1,33.3,505,136.6,68,"0.955891"
88,225,225,268,531,263,830,299,358175,62.8,73.4,83.5,1182,330,62,"0.965891"
89,53,53,95,270,175,551,281,330074,16.1,53,85.1,980,296.9,45,"0.975891"
9,2,2,3,32,29,73,41,153126,1.3,18.9,26.8,247,161.3,31,"0.165891"
90,143,143,202,406,204,565,159,137714,103.8,148.1,115.5,959,696.4,233,"0.985891"
91,380,380,653,1037,384,1780,743,1315404,28.9,29.2,56.5,2698,205.1,719,"0.995891"
92,799,799,1152,1604,452,2608,1004,1643080,48.6,27.5,61.1,3616,220.1,9200,1.00589
93,779,779,1073,1513,440,2316,803,1678367,46.4,26.2,47.8,3184,189.7,6918,1.01589
94,872,872,1274,1870,596,2866,996,1434351,60.8,41.6,69.4,4015,279.9,5702,1.02589
95,533,533,777,1212,435,1914,702,1276534,41.8,34.1,55,2792,218.7,994,3589090000000
